-n 
160,25,1,3.7500000005241674e-07
160,25,1,4.1699999997479864e-07
160,25,1,5.409999999650417e-07
1050,25,1,3.749999999969056e-07
1050,25,1,5.419999999922709e-07
1050,25,1,4.580000000364848e-07
2100,25,1,3.749999999969056e-07
2100,25,1,4.1600000000308057e-07
2100,25,1,4.1699999997479864e-07
160,25,2,5.410000000205528e-07
160,25,2,4.170000000303098e-07
160,25,2,5.000000000143778e-07
1050,25,2,4.589999999526917e-07
1050,25,2,4.580000000364848e-07
1050,25,2,3.7500000005241674e-07
2100,25,2,4.5900000000820285e-07
2100,25,2,5.000000000143778e-07
2100,25,2,5.42000000047782e-07
160,25,4,5.829999999984459e-07
160,25,4,3.749999999969056e-07
160,25,4,4.1600000000308057e-07
1050,25,4,4.5900000000820285e-07
1050,25,4,3.749999999969056e-07
1050,25,4,3.749999999969056e-07
2100,25,4,4.1600000000308057e-07
2100,25,4,5.409999999650417e-07
2100,25,4,4.580000000364848e-07
160,25,8,4.5900000000820285e-07
160,25,8,4.170000000303098e-07
160,25,8,5.829999999984459e-07
1050,25,8,5.000000000143778e-07
1050,25,8,5.42000000047782e-07
1050,25,8,3.3300000001901253e-07
2100,25,8,4.170000000303098e-07
2100,25,8,4.1699999997479864e-07
2100,25,8,4.580000000364848e-07
160,25,16,4.1600000000308057e-07
160,25,16,3.749999999969056e-07
160,25,16,4.999999999588667e-07
1050,25,16,6.250000000318501e-07
1050,25,16,4.170000000303098e-07
1050,25,16,4.1699999997479864e-07
2100,25,16,4.159999999475694e-07
2100,25,16,5.000000000143778e-07
2100,25,16,3.749999999969056e-07
160,25,24,4.1600000000308057e-07
160,25,24,5.000000000143778e-07
160,25,24,4.5799999998097363e-07
1050,25,24,4.1600000000308057e-07
1050,25,24,4.170000000303098e-07
1050,25,24,5.000000000143778e-07
2100,25,24,3.749999999969056e-07
2100,25,24,5.000000000143778e-07
2100,25,24,4.1600000000308057e-07
160,25,32,3.3300000001901253e-07
160,25,32,4.5900000000820285e-07
160,25,32,5.42000000047782e-07
1050,25,32,3.749999999969056e-07
1050,25,32,3.749999999969056e-07
1050,25,32,5.000000000143778e-07
2100,25,32,3.3300000001901253e-07
2100,25,32,5.000000000143778e-07
2100,25,32,3.3400000004624175e-07
